feature_set,features_used,n_features,lookback,width1,width2,dropout,lr,cell,fold,mcc,thr_val,bal_acc,auprc,auroc,epochs_trained
v2,all,11,40,32,16,0.0,0.0005,GRU,1,0.05067068754545893,0.344482421875,0.5057819344969057,0.48163083264707346,0.4485223558862388,16
v2,all,11,40,32,16,0.0,0.0005,GRU,2,0.06472330757715926,0.77099609375,0.5084076894166122,0.5249443884140681,0.49286251200601344,7
v2,all,11,40,32,16,0.0,0.0005,GRU,3,0.07534144055512633,0.2071533203125,0.514206795914113,0.5050445157283505,0.5032763532763533,16
v2,all,11,40,32,16,0.0,0.0005,GRU,4,0.06476179089511977,0.293701171875,0.5040650406504065,0.4840768181170225,0.4569592106177472,10
v2,all,11,40,32,16,0.0,0.0005,GRU,5,0.07884525051168548,0.71875,0.5085496885321292,0.5305470455284278,0.4862487283470602,14
v2,all,11,40,32,16,0.0,0.0005,LSTM,1,0.08141101951540866,0.3759765625,0.5083200055628955,0.5243469288823372,0.5022042973367637,11
v2,all,11,40,32,16,0.0,0.0005,LSTM,2,0.052706049254495645,0.366455078125,0.5095978507495929,0.5042366255942418,0.47940533693397736,11
v2,all,11,40,32,16,0.0,0.0005,LSTM,3,0.05284284341966789,0.34375,0.502710027100271,0.4996158959810374,0.4757834757834758,10
v2,all,11,40,32,16,0.0,0.0005,LSTM,4,0.08118873337747506,0.63232421875,0.5298311444652908,0.5429693318876232,0.5151136126745883,7
v2,all,11,40,32,16,0.0,0.0005,LSTM,5,0.08641283384181651,0.326171875,0.5070028011204482,0.5462411737991555,0.5012960408043815,10
v2,all,11,40,32,16,0.1,0.0005,GRU,1,0.0349593797282583,0.85107421875,0.501269035532995,0.49458016913050695,0.4842361449134274,13
v2,all,11,40,32,16,0.1,0.0005,GRU,2,0.05744094647020014,0.35693359375,0.5092115703169587,0.49183047104244476,0.4645283202717187,22
