day,pred_return
1,-0.0011292994022369385
2,-0.0019888654351234436
3,-0.0016590878367424011
4,-0.0002513900399208069
5,0.0004822760820388794
6,0.00021576136350631714
7,0.002648398280143738
8,0.0023025348782539368
9,0.003525353968143463
10,-0.0005857497453689575
11,-0.00036829710006713867
12,-0.0005463510751724243
13,0.0019776523113250732
14,0.0023973509669303894
15,0.00039623677730560303
16,-0.0017976835370063782
17,0.00046084821224212646
18,0.003390379250049591
19,0.004440605640411377
20,0.0009500831365585327
